rank,country_full,total_points,confederation,rank_date,rank_type
148,Singapore,1057.95,AFC,2026-06-10,live_unofficial
149,Lithuania,1056.85,UEFA,2026-06-10,live_unofficial
150,Guyana,1049.32,CONCACAF,2026-06-10,live_unofficial
151,New Caledonia,1036.95,OFC,2026-06-10,live_unofficial
152,St Kitts and Nevis,1036.33,CONCACAF,2026-06-10,live_unofficial
153,Solomon Islands,1031.89,OFC,2026-06-10,live_unofficial
154,Puerto Rico,1024.3,CONCACAF,2026-06-10,live_unofficial
155,Fiji,1024.17,OFC,2026-06-10,live_unofficial
156,"Hong Kong, China",1024.16,AFC,2026-06-10,live_unofficial
157,Tahiti,1019.04,OFC,2026-06-10,live_unofficial
158,Myanmar,1010.91,AFC,2026-06-10,live_unofficial
159,Moldova,1008.24,UEFA,2026-06-10,live_unofficial
160,Vanuatu,1002.53,OFC,2026-06-10,live_unofficial
161,Malta,992.79,UEFA,2026-06-10,live_unofficial
162,Antigua and Barbuda,986.58,CONCACAF,2026-06-10,live_unofficial
163,Grenada,981.82,CONCACAF,2026-06-10,live_unofficial
164,Cuba,981.42,CONCACAF,2026-06-10,live_unofficial
165,Eswatini,979.01,CAF,2026-06-10,live_unofficial
166,St Lucia,976.71,CONCACAF,2026-06-10,live_unofficial
167,Bermuda,975.05,CONCACAF,2026-06-10,live_unofficial
168,Papua New Guinea,974.9,OFC,2026-06-10,live_unofficial
169,South Sudan,970.94,CAF,2026-06-10,live_unofficial
170,St Vincent and the Grenadines,968.27,CONCACAF,2026-06-10,live_unofficial
171,Afghanistan,968.07,AFC,2026-06-10,live_unofficial
172,Andorra,946.43,UEFA,2026-06-10,live_unofficial
173,Maldives,943.92,AFC,2026-06-10,live_unofficial
174,Chinese Taipei,923.78,AFC,2026-06-10,live_unofficial
175,Cambodia,922.32,AFC,2026-06-10,live_unofficial
176,Montserrat,916.75,CONCACAF,2026-06-10,live_unofficial
177,Nepal,914.54,AFC,2026-06-10,live_unofficial
178,Mauritius,911.49,CAF,2026-06-10,live_unofficial
179,Barbados,909.89,CONCACAF,2026-06-10,live_unofficial
180,Belize,907.0,CONCACAF,2026-06-10,live_unofficial
181,Bangladesh,902.93,AFC,2026-06-10,live_unofficial
182,Dominica,897.69,CONCACAF,2026-06-10,live_unofficial
183,Chad,896.85,CAF,2026-06-10,live_unofficial
184,Eritrea,887.06,CAF,2026-06-10,live_unofficial
185,Laos,885.03,AFC,2026-06-10,live_unofficial
186,Cook Islands,877.53,OFC,2026-06-10,live_unofficial
187,Sri Lanka,876.86,AFC,2026-06-10,live_unofficial
188,Samoa,876.41,OFC,2026-06-10,live_unofficial
189,Aruba,875.61,CONCACAF,2026-06-10,live_unofficial
190,Mongolia,874.47,AFC,2026-06-10,live_unofficial
191,American Samoa,871.61,OFC,2026-06-10,live_unofficial
192,Bhutan,870.81,AFC,2026-06-10,live_unofficial
193,Macau,858.03,AFC,2026-06-10,live_unofficial
194,Brunei Darussalam,857.73,AFC,2026-06-10,live_unofficial
195,São Tomé and Príncipe,855.44,CAF,2026-06-10,live_unofficial
196,Djibouti,853.58,CAF,2026-06-10,live_unofficial
197,Cayman Islands,850.06,CONCACAF,2026-06-10,live_unofficial
198,Pakistan,840.28,AFC,2026-06-10,live_unofficial
199,Somalia,839.17,CAF,2026-06-10,live_unofficial
200,Tonga,835.64,OFC,2026-06-10,live_unofficial
201,Timor-Leste,831.0,AFC,2026-06-10,live_unofficial
202,Gibraltar,820.26,UEFA,2026-06-10,live_unofficial
203,Guam,819.54,AFC,2026-06-10,live_unofficial
204,Seychelles,804.16,CAF,2026-06-10,live_unofficial
205,Turks and Caicos Islands,803.98,CONCACAF,2026-06-10,live_unofficial
206,Liechtenstein,797.7,UEFA,2026-06-10,live_unofficial
207,Bahamas,786.82,CONCACAF,2026-06-10,live_unofficial
208,US Virgin Islands,779.76,CONCACAF,2026-06-10,live_unofficial
209,British Virgin Islands,777.41,CONCACAF,2026-06-10,live_unofficial
210,Anguilla,760.25,CONCACAF,2026-06-10,live_unofficial
211,San Marino,721.2,UEFA,2026-06-10,live_unofficial
